,lable,text
36,1,"Бопре в отечестве своем был парикмахером, потом в Пруссии солдатом, потом приехал в Россию pour &#234;tre outchitel,[8 - Чтобы стать учителем. Русское слово учитель дано во французском написании для придания ему комического оттенка.] не очень понимая значение этого слова. Он был добрый малый, но ветрен и беспутен до крайности. Главною его слабостию была страсть к прекрасному полу; нередко за свои нежности получал он толчки, от которых охал по целым суткам. К тому же не был он (по его выражению) и врагом бутылки, то есть (говоря по-русски) любил хлебнуть лишнее. Но как вино подавалось у нас только за обедом, и то по рюмочке, причем учителя обыкновенно и обносили, то мой Бопре очень скоро привык к русской настойке и даже стал предпочитать ее винам своего отечества, как не в пример более полезную для желудка. Мы тотчас поладили, и хотя по контракту обязан он был учить меня по-французски, по-немецки и всем наукам, но он предпочел наскоро выучиться от меня кое-как болтать по-русски, – и потом каждый из нас занимался уже своим делом. Мы жили душа в душу. Другого ментора я и не желал. Но вскоре судьба нас разлучила, и вот по какому случаю."
37,1,
38,1,"Прачка Палашка, толстая и рябая девка, и кривая коровница Акулька как-то согласились в одно время кинуться матушке в ноги, винясь в преступной слабости и с плачем жалуясь на мусье, обольстившего их неопытность. Матушка шутить этим не любила и пожаловалась батюшке. У него расправа была коротка. Он тотчас потребовал каналью француза. Доложили, что мусье давал мне свой урок. Батюшка пошел в мою комнату. В это время Бопре спал на кровати сном невинности. Я был занят делом. Надобно знать, что для меня выписана была из Москвы географическая карта. Она висела на стене безо всякого употребления и давно соблазняла меня шириною и добротою бумаги. Я решился сделать из нее змей и, пользуясь сном Бопре, принялся за работу. Батюшка вошел в то самое время, как я прилаживал мочальный хвост к Мысу Доброй Надежды. Увидя мои упражнения в географии, батюшка дернул меня за ухо, потом подбежал к Бопре, разбудил его очень неосторожно и стал осыпать укоризнами. Бопре в смятении хотел было привстать и не мог: несчастный француз был мертво пьян. Семь бед, один ответ. Батюшка за ворот приподнял его с кровати, вытолкал из дверей и в тот же день прогнал со двора, к неописанной радости Савельича. Тем и кончилось мое воспитание."
39,1,
40,1,"Я жил недорослем, гоняя голубей и играя в чехарду с дворовыми мальчишками. Между тем минуло мне шестнадцать лет. Тут судьба моя переменилась."
41,1,
42,1,"Однажды осенью матушка варила в гостиной медовое варенье, а я, облизываясь, смотрел на кипучие пенки. Батюшка у окна читал Придворный календарь,[9 - Придворный календарь – (годы издания 1735–1917), помимо календарных и других сведений, содержал списки высших военных и гражданских чинов, роспись дворцовых приемов и пр.] ежегодно им получаемый. Эта книга имела всегда сильное на него влияние: никогда не перечитывал он ее без особенного участия, и чтение это производило в нем всегда удивительное волнение желчи. Матушка, знавшая наизусть все его свычаи и обычаи, всегда старалась засунуть несчастную книгу как можно подалее, и таким образом Придворный календарь не попадался ему на глаза иногда по целым месяцам. Зато, когда он случайно его находил, то, бывало, по целым часам не выпускал уж из своих рук. Итак, батюшка читал Придворный календарь, изредка пожимая плечами и повторяя вполголоса: «Генерал-поручик!.. Он у меня в роте был сержантом!.. Обоих российских орденов кавалер!.. А давно ли мы…» Наконец батюшка швырнул календарь на диван и погрузился в задумчивость, не предвещавшую ничего доброго."
43,1,
44,1,"Вдруг он обратился к матушке: «Авдотья Васильевна, а сколько лет Петруше?»"
45,1,
46,1,"– Да вот пошел семнадцатый годок, – отвечала матушка. – Петруша родился в тот самый год, как окривела тетушка Настасья Герасимовна, и когда еще…"
47,1,
48,1,"«Добро, – прервал батюшка, – пора его в службу. Полно ему бегать по девичьим да лазить на голубятни»."
49,1,
50,1,"Мысль о скорой разлуке со мною так поразила матушку, что она уронила ложку в кастрюльку и слезы потекли по ее лицу. Напротив того, трудно описать мое восхищение. Мысль о службе сливалась во мне с мыслями о свободе, об удовольствиях петербургской жизни. Я воображал себя офицером гвардии, что, по мнению моему, было верхом благополучия человеческого."
51,1,
52,1,"Батюшка не любил ни переменять свои намерения, ни откладывать их исполнение. День отъезду моему был назначен. Накануне батюшка объявил, что намерен писать со мною к будущему моему начальнику, и потребовал пера и бумаги."
53,1,
54,1,"– Не забудь, Андрей Петрович, – сказала матушка, – поклониться и от меня князю Б.; я, дескать, надеюсь, что он не оставит Петрушу своими милостями."
55,1,
56,1,– Что за вздор! – отвечал батюшка нахмурясь. – К какой стати стану я писать к князю Б.?
57,1,
58,1,"– Да ведь ты сказал, что изволишь писать к начальнику Петруши."
59,1,
60,1,"– Ну, а там что?"
61,1,
62,1,– Да ведь начальник Петрушин – князь Б. Ведь Петруша записан в Семеновский полк.
63,1,
64,1,"– Записан! А мне какое дело, что он записан? Петруша в Петербург не поедет. Чему научится он, служа в Петербурге? мотать да повесничать? Нет, пускай послужит он в армии, да потянет лямку, да понюхает пороху, да будет солдат, а не шаматон.[10 - Шаматон (разг., устар.) – гуляка, шалопай, бездельник.] Записан в гвардии! Где его пашпорт? подай его сюда."
65,1,
66,1,"Матушка отыскала мой паспорт, хранившийся в ее шкатулке вместе с сорочкою, в которой меня крестили, и вручила его батюшке дрожащею рукою. Батюшка прочел его со вниманием, положил перед собою на стол и начал свое письмо."
67,1,
68,1,"Любопытство меня мучило: куда ж отправляют меня, если уж не в Петербург? Я не сводил глаз с пера батюшкина, которое двигалось довольно медленно. Наконец он кончил, запечатал письмо в одном пакете с паспортом, снял очки и, подозвав меня, сказал: «Вот тебе письмо к Андрею Карловичу Р., моему старинному товарищу и другу. Ты едешь в Оренбург служить под его начальством»."
69,1,
70,1,"Итак, все мои блестящие надежды рушились! Вместо веселой петербургской жизни ожидала меня скука в стороне глухой и отдаленной. Служба, о которой за минуту думал я с таким восторгом, показалась мне тяжким несчастьем. Но спорить было нечего! На другой день поутру подвезена была к крыльцу дорожная кибитка; уложили в нее чемодан, погребец[11 - Погребец (устар.) – дорожный сундучок для посуды и съестных припасов.] с чайным прибором и узлы с булками и пирогами, последними знаками домашнего баловства. Родители мои благословили меня. Батюшка сказал мне: «Прощай, Петр. Служи верно, кому присягнешь; слушайся начальников; за их лаской не гоняйся; на службу не напрашивайся; от службы не отговаривайся; и помни пословицу: береги платье снову, а честь смолоду». Матушка в слезах наказывала мне беречь мое здоровье, а Савельичу смотреть за дитятей. Надели на меня заячий тулуп, а сверху лисью шубу. Я сел в кибитку с Савельичем и отправился в дорогу, обливаясь слезами."
71,1,
72,1,"В ту же ночь приехал я в Симбирск, где должен был пробыть сутки для закупки нужных вещей, что и было поручено Савельичу. Я остановился в трактире. Савельич с утра отправился по лавкам. Соскуча глядеть из окна на грязный переулок, я пошел бродить по всем комнатам. Вошед в биллиардную, увидел я высокого барина, лет тридцати пяти, с длинными черными усами, в халате, с кием в руке и с трубкой в зубах. Он играл с маркером, который при выигрыше выпивал рюмку водки, а при проигрыше должен был лезть под биллиард на четверинках. Я стал смотреть на их игру. Чем долее она продолжалась, тем прогулки на четверинках становились чаще, пока, наконец, маркер[12 - Маркер (фр.) – лицо, прислуживающее при бильярде.] остался под биллиардом. Барин произнес над ним несколько сильных выражений в виде надгробного слова и предложил мне сыграть партию. Я отказался по неумению. Это показалось ему, по-видимому, странным. Он поглядел на меня как бы с сожалением; однако мы разговорились. Я узнал, что его зовут Иваном Ивановичем Зуриным, что он ротмистр ** гусарского полку и находится в Симбирске при приеме рекрут,[13 - Рекрут (устар.) – солдат-новобранец, лицо только что призванное на военную службу. Здесь употребляется устарелая форма родительного падежа множественного числа (вместо рекрутов).] а стоит в трактире. Зурин пригласил меня отобедать с ним вместе чем бог послал, по-солдатски. Я с охотою согласился. Мы сели за стол. Зурин пил много и потчевал и меня, говоря, что надобно привыкать ко службе; он рассказывал мне армейские анекдоты, от которых я со смеху чуть не валялся, и мы встали из-за стола совершенными приятелями. Тут вызвался он выучить меня играть на биллиарде. «Это, – говорил он, – необходимо для нашего брата служивого. В походе, например, придешь в местечко – чем прикажешь заняться? Ведь не все же бить жидов. Поневоле пойдешь в трактир и станешь играть на биллиарде; а для того надобно уметь играть!» Я совершенно был убежден и с большим прилежанием принялся за учение. Зурин громко ободрял меня, дивился моим быстрым успехам и, после нескольких уроков, предложил мне играть в деньги, по одному грошу, не для выигрыша, а так, чтоб только не играть даром, что, по его словам, самая скверная привычка. Я согласился и на то, а Зурин велел подать пуншу и уговорил меня попробовать, повторяя, что к службе надобно мне привыкать; а без пуншу, что и служба! Я послушался его. Между тем игра наша продолжалась. Чем чаще прихлебывал я от моего стакана, тем становился отважнее. Шары поминутно летали у меня через борт; я горячился, бранил маркера, который считал бог ведает как, час от часу умножал игру, словом – вел себя как мальчишка, вырвавшийся на волю. Между тем время прошло незаметно. Зурин взглянул на часы, положил кий и объявил мне, что я проиграл сто рублей. Это меня немножко смутило. Деньги мои были у Савельича. Я стал извиняться. Зурин меня прервал: «Помилуй! Не изволь и беспокоиться. Я могу и подождать, а покамест поедем к Аринушке»."
73,1,
74,1,"Что прикажете? День я кончил так же беспутно, как и начал. Мы отужинали у Аринушки. Зурин поминутно мне подливал, повторяя, что надобно к службе привыкать. Встав из-за стола, я чуть держался на ногах; в полночь Зурин отвез меня в трактир."
75,1,
76,1,"Савельич встретил нас на крыльце. Он ахнул, увидя несомненные признаки моего усердия к службе. «Что это, сударь, с тобою сделалось? – сказал он жалким голосом, – где ты это нагрузился? Ахти господи! отроду такого греха не бывало!» – «Молчи, хрыч! – отвечал я ему, запинаясь, – ты, верно, пьян, пошел спать… и уложи меня»."
77,1,
78,1,"На другой день я проснулся с головною болью, смутно припоминая себе вчерашние происшествия. Размышления мои прерваны были Савельичем, вошедшим ко мне с чашкою чая. «Рано, Петр Андреич, – сказал он мне, качая головою, – рано начинаешь гулять. И в кого ты пошел? Кажется, ни батюшка, ни дедушка пьяницами не бывали; о матушке и говорить нечего: отроду, кроме квасу, в рот ничего не изволила брать. А кто всему виноват? проклятый мусье. То и дело, бывало, к Антипьевне забежит: „Мадам, же ву при, водкю“.[14 - Сударыня, я вас прошу (фр.).] Вот тебе и же ву при! Нечего сказать: добру наставил, собачий сын. И нужно было нанимать в дядьки басурмана, как будто у барина не стало и своих людей!»"
79,1,
80,1,"Мне было стыдно. Я отвернулся и сказал ему: «Поди вон, Савельич; я чаю не хочу». Но Савельича мудрено было унять, когда, бывало, примется за проповедь. «Вот видишь ли, Петр Андреич, каково подгуливать. И головке-то тяжело, и кушать-то не хочется. Человек пьющий ни на что не годен… Выпей-ка огуречного рассолу с медом, а всего бы лучше опохмелиться полстаканчиком настойки. Не прикажешь ли?»"
81,1,
82,1,В это время мальчик вошел и подал мне записку от И. И. Зурина. Я развернул ее и прочел следующие строки:
83,1,
84,1,
85,1,
86,1,"«Любезный Петр Андреевич, пожалуйста, пришли мне с моим мальчиком сто рублей, которые ты мне вчера проиграл. Мне крайняя нужда в деньгах."
87,1,
88,1,Готовый ко услугам
89,1,
90,1,    Иван Зурин».
91,1,
92,1,"Делать было нечего. Я взял на себя вид равнодушный и, обратясь к Савельичу, который был и денег, и белья, и дел моих рачитель,[15 - И денег, и белья, и дел моих рачитель – цитата из стихотворения Д. И. Фонвизина «Послание к слугам моим». Рачитель (книжн., устар.) – человек, заботящийся о чем-либо, ведающий чем-либо.] приказал отдать мальчику сто рублей. «Как! зачем?» – спросил изумленный Савельич. «Я их ему должен», – отвечал я со всевозможной холодностию. «Должен! – возразил Савельич, час от часу приведенный в большее изумление, – да когда же, сударь, успел ты ему задолжать? Дело что-то не ладно. Воля твоя, сударь, а денег я не выдам»."
93,1,
94,1,"Я подумал, что если в сию решительную минуту не переспорю упрямого старика, то уж в последствии времени трудно мне будет освободиться от его опеки, и, взглянув на него гордо, сказал: «Я твой господин, а ты мой слуга. Деньги мои. Я их проиграл, потому что так мне вздумалось. А тебе советую не умничать и делать то, что тебе приказывают»."
95,1,
96,1,"Савельич так был поражен моими словами, что сплеснул руками и остолбенел. «Что же ты стоишь!» – закричал я сердито. Савельич заплакал. «Батюшка Петр Андреич, – произнес он дрожащим голосом, – не умори меня с печали. Свет ты мой! послушай меня, старика: напиши этому разбойнику, что ты пошутил, что у нас и денег-то таких не водится. Сто рублей! Боже ты милостивый! Скажи, что тебе родители крепко-накрепко заказали не играть, окроме как в орехи…» – «Полно врать, – прервал я строго, – подавай сюда деньги или я тебя взашеи прогоню»."
97,1,
98,1,"Савельич поглядел на меня с глубокой горестью и пошел за моим долгом. Мне было жаль бедного старика; но я хотел вырваться на волю и доказать, что уж я не ребенок. Деньги были доставлены Зурину. Савельич поспешил вывезти меня из проклятого трактира. Он явился с известием, что лошади готовы. С неспокойной совестию и с безмолвным раскаянием выехал я из Симбирска, не простясь с моим учителем и не думая с ним уже когда-нибудь увидеться."
99,1,
100,1,
101,1,
102,1,Глава II
103,1,
104,1,Вожатый
105,1,
106,1,"Сторона ль моя, сторонушка,"
107,1,
108,1,Сторона незнакомая!
109,1,
110,1,"Что не сам ли я на тебя зашел,"
111,1,
112,1,Что не добрый ли да меня конь завез:
113,1,
114,1,"Завезла меня, доброго молодца,"
115,1,
116,1,"Прытость, бодрость молодецкая"
117,1,
118,1,И хмелинушка кабацкая.
119,1,
120,1,    Старинная песня
121,1,
122,1,"Дорожные размышления мои были не очень приятны. Проигрыш мой, по тогдашним ценам, был немаловажен. Я не мог не признаться в душе, что поведение мое в симбирском трактире было глупо, и чувствовал себя виноватым перед Савельичем. Все это меня мучило. Старик угрюмо сидел на облучке,[16 - Облучок – сиденье для кучера в повозке.] отворотясь от меня, и молчал, изредка только покрякивая. Я непременно хотел с ним помириться и не знал с чего начать. Наконец я сказал ему: «Ну, ну, Савельич! полно, помиримся, виноват; вижу сам, что виноват. Я вчера напроказил, а тебя напрасно обидел. Обещаюсь вперед вести себя умнее и слушаться тебя. Ну, не сердись; помиримся»."
123,1,
124,1,"– Эх, батюшка Петр Андреич! – отвечал он с глубоким вздохом. – Сержусь-то я на самого себя; сам я кругом виноват. Как мне было оставлять тебя одного в трактире! Что делать? Грех попутал: вздумал забрести к дьячихе, повидаться с кумою. Так-то: зашел к куме, да засел в тюрьме. Беда да и только! Как покажусь я на глаза господам? что скажут они, как узнают, что дитя пьет и играет."
125,1,
126,1,"Чтоб утешить бедного Савельича, я дал ему слово впредь без его согласия не располагать ни одною копейкою. Он мало-помалу успокоился, хотя все еще изредка ворчал про себя, качая головою: «Сто рублей! легко ли дело!»"
127,1,
128,1,"Я приближался к месту моего назначения. Вокруг меня простирались печальные пустыни, пересеченные холмами и оврагами. Все покрыто было снегом. Солнце садилось. Кибитка ехала по узкой дороге, или точнее по следу, проложенному крестьянскими санями. Вдруг ямщик стал посматривать в сторону и, наконец, сняв шапку, оборотился ко мне и сказал: «Барин, не прикажешь ли воротиться?»"
129,1,
130,1,– Это зачем?
131,1,
132,1,"– Время ненадежно: ветер слегка подымается; вишь, как он сметает порошу."
133,1,
134,1,– Что ж за беда!
135,1,
136,1,– А видишь там что? (Ямщик указал кнутом на восток.)
137,1,
138,1,"– Я ничего не вижу, кроме белой степи да ясного неба."
139,1,
140,1,– А вон – вон: это облачко.
141,1,
142,1,"Я увидел в самом деле на краю неба белое облачко, которое принял было сперва за отдаленный холмик. Ямщик изъяснил мне, что облачко предвещало буран."
143,1,
144,1,"Я слыхал о тамошних метелях и знал, что целые обозы бывали ими занесены. Савельич, согласно со мнением ямщика, советовал воротиться. Но ветер показался мне не силен; я понадеялся добраться заблаговременно до следующей станции и велел ехать скорее."
145,1,
146,1,"Ямщик поскакал; но все поглядывал на восток. Лошади бежали дружно. Ветер между тем час от часу становился сильнее. Облачко обратилось в белую тучу, которая тяжело подымалась, росла и постепенно облегала небо. Пошел мелкий снег – и вдруг повалил хлопьями. Ветер завыл; сделалась метель. В одно мгновение темное небо смешалось со снежным морем. Все исчезло. «Ну, барин, – закричал ямщик, – беда: буран!..»"
147,1,
148,1,"Я выглянул из кибитки: все было мрак и вихорь. Ветер выл с такой свирепой выразительностию, что казался одушевленным; снег засыпал меня и Савельича; лошади шли шагом – и скоро стали. «Что же ты не едешь?» – спросил я ямщика с нетерпением. «Да что ехать? – отвечал он, слезая с облучка, – невесть и так куда заехали: дороги нет, и мгла кругом». Я стал было его бранить. Савельич за него заступился: «И охота было не слушаться, – говорил он сердито, – воротился бы на постоялый двор, накушался бы чаю, почивал бы себе до утра, буря б утихла, отправились бы далее. И куда спешим? Добро бы на свадьбу!» Савельич был прав. Делать было нечего. Снег так и валил. Около кибитки подымался сугроб. Лошади стояли, понуря голову и изредка вздрагивая. Ямщик ходил кругом, от нечего делать улаживая упряжь. Савельич ворчал; я глядел во все стороны, надеясь увидеть хоть признак жила или дороги, но ничего не мог различить, кроме мутного кружения метели… Вдруг увидел я что-то черное. «Эй, ямщик! – закричал я, – смотри: что там такое чернеется?» Ямщик стал всматриваться. «А бог знает, барин, – сказал он, садясь на свое место, – воз не воз, дерево не дерево, а кажется, что шевелится. Должно быть, или волк, или человек». Я приказал ехать на незнакомый предмет, который тотчас и стал подвигаться нам навстречу. Через две минуты мы поровнялись с человеком. «Гей, добрый человек! – закричал ему ямщик. – Скажи, не знаешь ли, где дорога?»"
149,1,
150,1,"– Дорога-то здесь; я стою на твердой полосе, – отвечал дорожный, – да что толку?"
151,1,
152,1,"– Послушай, мужичок, – сказал я ему, – знаешь ли ты эту сторону? Возьмешься ли ты довести меня до ночлега?"
153,1,
154,1,"– Сторона мне знакомая, – отвечал дорожный, – слава богу, исхожена и изъезжена вдоль и поперек. Да вишь какая погода: как раз собьешься с дороги. Лучше здесь остановиться да переждать, авось буран утихнет да небо прояснится: тогда найдем дорогу по звездам."
155,1,
156,1,"Его хладнокровие ободрило меня. Я уж решился, предав себя божией воле, ночевать посреди степи, как вдруг дорожный сел проворно на облучок и сказал ямщику: «Ну, слава богу, жило недалеко; сворачивай вправо да поезжай»."
157,1,
158,1,"– А почему ехать мне вправо? – спросил ямщик с неудовольствием. – Где ты видишь дорогу? Небось: лошади чужие, хомут не свой, погоняй не стой. – Ямщик казался мне прав. «В самом деле, – сказал я, – почему думаешь ты, что жило[17 - Жил&#243; (устар.) – жилье.] недалече?» – «А потому, что ветер оттоле потянул, – отвечал дорожный, – и я слышу, дымом пахнуло; знать, деревня близко». Сметливость его и тонкость чутья меня изумили. Я велел ямщику ехать. Лошади тяжело ступали по глубокому снегу. Кибитка тихо подвигалась, то въезжая на сугроб, то обрушаясь в овраг и переваливаясь то на одну, то на другую сторону. Это похоже было на плавание судна по бурному морю. Савельич охал, поминутно толкаясь о мои бока. Я опустил циновку, закутался в шубу и задремал, убаюканный пением бури и качкою тихой езды."
159,1,
160,1,"Мне приснился сон, которого никогда не мог я позабыть и в котором до сих пор вижу нечто пророческое, когда соображаю[18 - Соображаю – здесь: сопоставляю, согласую.] с ним странные обстоятельства моей жизни. Читатель извинит меня: ибо, вероятно, знает по опыту, как сродно человеку предаваться суеверию, несмотря на всевозможное презрение к предрассудкам."
161,1,
162,1,"Я находился в том состоянии чувств и души, когда существенность, уступая мечтаниям, сливается с ними в неясных видениях первосония. Мне казалось, буран еще свирепствовал и мы еще блуждали по снежной пустыне… Вдруг увидел я ворота и въехал на барский двор нашей усадьбы. Первою мыслию моею было опасение, чтоб батюшка не прогневался на меня за невольное возвращение под кровлю родительскую и не почел бы его умышленным ослушанием. С беспокойством я выпрыгнул из кибитки и вижу: матушка встречает меня на крыльце с видом глубокого огорчения. «Тише, – говорит она мне, – отец болен при смерти и желает с тобою проститься». Пораженный страхом, я иду за нею в спальню. Вижу, комната слабо освещена; у постели стоят люди с печальными лицами. Я тихонько подхожу к постеле; матушка приподымает полог и говорит: «Андрей Петрович, Петруша приехал; он воротился, узнав о твоей болезни; благослови его». Я стал на колени и устремил глаза мои на больного. Что ж?.. Вместо отца моего, вижу в постеле лежит мужик с черной бородою, весело на меня поглядывая. Я в недоумении оборотился к матушке, говоря ей: «Что это значит? Это не батюшка. И к какой мне стати просить благословения у мужика?» – «Все равно, Петруша, – отвечала мне матушка, – это твой посаженый отец; поцелуй у него ручку, и пусть он тебя благословит…» Я не соглашался. Тогда мужик вскочил с постели, выхватил топор из-за спины и стал махать во все стороны. Я хотел бежать… и не мог; комната наполнилась мертвыми телами; я спотыкался о тела и скользил в кровавых лужах… Страшный мужик ласково меня кликал, говоря: «Не бойсь, подойди под мое благословение…» Ужас и недоумение овладели мною… И в эту минуту я проснулся; лошади стояли; Савельич дергал меня за руку, говоря: «Выходи, сударь: приехали»."
163,1,
164,1,"– Куда приехали? – спросил я, протирая глаза."
165,1,
166,1,"– На постоялый двор. Господь помог, наткнулись прямо на забор. Выходи, сударь, скорее да обогрейся."
167,1,
168,1,"Я вышел из кибитки. Буран еще продолжался, хотя с меньшею силою. Было так темно, что хоть глаз выколи. Хозяин встретил нас у ворот, держа фонарь под полою, и ввел меня в горницу, тесную, но довольно чистую; лучина освещала ее. На стене висела винтовка и высокая казацкая шапка."
